Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Shanxi,55,62144.90674,0.1394,347.42,1.658333333,871.27,2475,38.75,111.88,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,65,81951.69082,0.1035,347.42,1.658333333,871.27,2327,38.77,111.88,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,56,49917.55977,0.1213,347.42,1.658333333,871.27,2276,38.79,111.93,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,50,48748.99112,0.1239,313.1,3.891666667,935.3,2243,38.89,112.03,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,61,64261.57237,0.1361,441.79,0.5,818.71,2490,39.12,113.57,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,57,36288.65979,0.3298,290.13,4.191666667,949.07,2310,39.5,112.2,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,80,93121.62972,0.1669,524.74,11.46666667,875.09,2680,33.5,107.9,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,76,180868.9024,0.0656,562.77,10.55833333,858.37,2250,33.3,108.3,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,125,116248.8479,0.1085,541.25,6.408333333,820.18,2772,33.9,107.7,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,98,98902.54609,0.1139,538.9,14.21666667,883.55,2770,33.2,107.5,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,184,297750,0.052,419.6,2.733333333,933.4,3550,31.2,98.8,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,178,611516.5877,0.0422,535.33,-0.7,768.28,3750,31.7,101.6,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,165,508684.7195,0.0517,484.33,4.341666667,926.52,3675,31,101.1,Luo 1996
Boreal/alpine Picea-Abies forest,Sichuan,184,1204561.028,0.0467,655.34,7.491666667,876.74,3075,28.8,103,Luo 1996
