Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Subtropical evergreen broadleaved forest,Guangxi,20,107538.4615,0.0845,651.72,18.625,1075.73,1172,24.58,104.68,Luo 1996
Subtropical evergreen broadleaved forest,Guangxi,17,40240.46001,0.1913,1057.11,18.35,1024.85,305,25.17,109.93,Luo 1996
Subtropical evergreen broadleaved forest,Guangxi,30,336411.4833,0.0627,1027.98,17.88333333,1009.08,468,25.38,109.75,Luo 1996
Subtropical evergreen broadleaved forest,Guangxi,42,317863.2479,0.0585,1070.7,15.61666667,962.71,500,26,110.6,Luo 1996
Subtropical evergreen broadleaved forest,Guangxi,81,304572.2171,0.1087,1077.65,16.80833333,982.42,560,25.7,110,Luo 1996
Subtropical evergreen broadleaved forest,Guangxi,3,22136.90476,0.168,1070.7,15.61666667,962.71,700,26,110.6,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,102142.8571,0.1134,744.8,19.725,1063.7,965,24.75,106,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,78,421985.2941,0.068,766.71,18.63333333,1044.14,540,25,105.8,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,70,48594.55482,0.2718,712.36,14.25,882.47,1543,28.32,105.87,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,63381.0143,0.1538,701.21,13.125,863.33,1400,28.32,105.7,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,51,44823.90608,0.1874,712.36,14.25,882.47,1073,28.35,105.83,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,35,31546.77755,0.2405,735.42,13.875,866.66,800,28.53,106.2,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,50423.28042,0.2646,737.16,14.475,875.44,840,28.65,106.16,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,43804.70163,0.2765,889.65,16.425,963.45,750,25.5,108.45,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,27568.40621,0.3545,862.57,17.28333333,989.82,1200,25.58,108.33,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,120259.887,0.0885,878.43,15.71666667,947.62,1400,25.62,108.29,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,57804.39122,0.2004,812.51,15.53333333,941.28,560,26.2,107.97,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,35,18388.20947,0.6378,812.51,15.53333333,941.28,892,26.23,108,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,22,35196.81909,0.2515,800.85,15.375,923.62,1080,26.27,107.93,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,49088.82958,0.2623,827.25,14.375,907.88,900,26.3,107.97,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,34328.57846,0.2033,842.76,13.49166667,846.98,1415,29.22,107.44,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,37765.463,0.2797,844.57,13.68333333,849.72,1280,28.68,107.71,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,31,124500.4421,0.1131,833.16,16.16666667,953.08,1340,25.9,107.68,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,22,149832.636,0.0478,606.3,13.16666667,989.19,1900,27.13,104.57,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,41,58600.68259,0.3516,752.22,15.34166667,923.04,1190,26.95,107.63,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,77469.19431,0.1055,779.45,15.53333333,936.47,870,26.45,108.55,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,39,47875.19077,0.5897,809.73,15.50833333,941.27,700,26.52,108.83,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,65,487234.0426,0.0423,786.51,14.93333333,922.46,700,26.73,108.71,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,31761.06879,0.9057,878.77,16.09166667,957.12,860,26.55,109.39,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,46,47342.89329,0.2371,818.2,14.11666667,896.64,950,26.52,107.98,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,35,71968.47039,0.2347,830.79,14.29166667,914.85,1600,26.33,108.16,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,58627.54848,0.2011,863.22,12.7,877.21,1430,26.42,108.27,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,35,76013.28904,0.1505,863.22,12.7,877.21,1865,26.52,108.23,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,43,136254.1806,0.1196,830.79,14.29166667,914.85,915,26.4,108.2,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,80,180827.6644,0.0882,827.25,14.375,907.88,1785,26.3,108,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,26,61989.49442,0.1523,840.16,16.7,973.53,490,25.95,108.92,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,51007.50939,0.1598,855.91,17.075,983.86,780,25.95,108.96,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,132392.7393,0.1212,923.61,16.76666667,973.82,800,26.02,109.36,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,43039.04924,0.2356,923.61,16.76666667,973.82,780,26.08,109.4,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,72010.26518,0.1169,883.24,16.35833333,961.72,670,26.2,109.28,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,40803.7349,0.5462,911.75,16.43333333,967.78,750,26.23,109.32,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,31,78275,0.16,882.94,18.11666667,1009.83,800,25.21,107.79,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,64736.84211,0.2033,882.94,18.11666667,1009.83,800,25.21,107.91,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,45,35886.48154,0.3277,873.93,19.175,1032.65,815,25.21,107.95,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,55,58855.74172,0.2447,873.93,19.175,1032.65,750,25.21,107.99,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,38953.6065,0.2953,861.73,18.36666667,1011.65,790,25.25,107.95,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,45,53769.43496,0.2637,861.73,18.36666667,1011.65,850,25.25,107.99,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,55998.40891,0.1257,879.17,17.09166667,981.63,900,25.3,107.87,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,48006.64452,0.2408,879.17,17.09166667,981.63,953,25.33,107.91,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,22478.19972,0.3555,861.73,18.36666667,1011.65,600,25.37,108.06,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,30601.2506,0.2079,1067.53,21.94166667,1155.89,650,25.37,108.14,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,70824.37276,0.1395,861.73,18.36666667,1011.65,700,25.4,107.99,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,22959.53757,0.2595,861.73,18.36666667,1011.65,760,25.4,108.02,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,46,48581.77172,0.2348,833.16,16.16666667,953.08,970,25.43,107.67,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,49093.55308,0.2063,811.65,17.15833333,983.42,850,25.43,108.14,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,44816.98895,0.2896,851.48,17.40833333,984.64,700,25.47,107.79,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,33797.46835,0.3002,863.62,16.975,974.64,800,25.52,108.1,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,39514.33858,0.2162,854.64,17.53333333,993.16,800,25.52,108.14,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,36,21779.56372,0.2613,797.06,18.33333333,1010.98,1500,25.55,107.04,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,28415.33546,0.4695,851.48,17.40833333,984.64,1000,25.55,107.88,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,68360.65574,0.1037,851.48,17.40833333,984.64,650,25.55,107.92,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,46,81864.14709,0.1958,863.62,16.975,974.64,540,25.55,107.96,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,45,32660.87845,0.1958,863.62,16.975,974.64,850,25.58,108.05,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,38,78204.50886,0.1242,863.62,16.975,974.64,700,25.58,108.09,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,46,259676.4253,0.0649,793.13,15.15833333,935.11,1462,26.37,106.97,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,21,121851.4151,0.0848,797.06,18.33333333,1010.98,710,25.43,106.96,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,35,61750.59952,0.1668,808.49,16.1,950.88,1090,26.02,107.13,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,44829.14573,0.199,809.3,17.26666667,984.64,754,25.75,108.05,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,65353.70685,0.1767,806.3,16.50833333,969.21,1032,26.02,108.12,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,165086.6463,0.0981,806.3,16.50833333,969.21,620,26.02,108.2,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,46,87984.30603,0.2039,794.3,17.00833333,977.1,810,26.02,107.93,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,36003.19744,0.2502,747.32,15.16666667,919.13,950,27.17,108.05,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,50,188562.4013,0.0633,766.76,14.84166667,915.15,980,27.53,108.45,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,22,116551.7241,0.0986,877.03,14.29166667,897.84,850,28.13,109.25,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,66730.95468,0.2074,780.9,15.35833333,935.86,1619,26.55,108.31,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,73322.63242,0.1869,868.28,15.575,940.12,500,26.73,109.35,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,110,404217.6871,0.0588,782.98,15.21666667,928.8,700,27.1,109.02,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,29,134347.4265,0.1088,814.1,15.88333333,945.83,420,27.7,109.34,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,136953.405,0.0837,749.37,19.86666667,1066.7,885,25.03,106.12,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,45,349726.0274,0.0292,749.37,19.86666667,1066.7,680,25.07,106.24,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,16,35202.13832,0.2993,766.48,14.18333333,900.22,740,27.02,107.23,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,53021.64901,0.2171,752.22,15.34166667,923.04,1030,27.02,107.63,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,24,36590.20732,0.2267,779.37,14.04166667,895.11,1210,27.05,107.59,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,23,43546.57114,0.1954,752.14,15.05,914.86,1030,27.13,107.67,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,37,256422.3722,0.1037,738.58,14.55,916.27,1500,27.1,106.7,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,69823.42007,0.1076,714.68,15.8,912.78,1120,28.35,106.03,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,41,64593.02326,0.1376,714.68,15.8,912.78,1180,28.4,106.03,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,31,61987.87879,0.165,714.68,15.8,912.78,1320,28.4,106.07,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,67882.44767,0.1242,725.97,14.16666667,872.44,1100,28.43,106.07,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,43,29817.21035,0.3556,735.42,13.875,866.66,1380,28.43,106.19,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,80,90888.88889,0.144,744.96,13.86666667,866.69,1360,28.5,106.32,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,70,116539.924,0.1315,735.42,13.875,866.66,990,28.53,106.24,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,70,61986.49409,0.1777,735.42,13.875,866.66,1120,28.53,106.28,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,41,61986.49409,0.1777,744.96,13.86666667,866.69,1210,28.57,106.4,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,30,37114.9789,0.1896,761.24,13.25,851.82,1460,28.57,106.48,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,143214.6295,0.1039,867.6,14.16666667,1015.81,1186,25.75,104.61,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,32,88514.64435,0.1434,839.08,14.69166667,892.91,740,28.25,108.43,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,38,40095.99332,0.2396,843.24,15.25833333,899.56,727,28.68,108.14,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,31,22784.63649,0.3645,850.79,15.825,908.01,760,28.97,108.19,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,22,29911.00036,0.2809,853.64,13.19166667,878.11,1030,27.97,108.6,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,46196.2447,0.1651,734.99,15.15833333,926.37,1010,27.17,108.3,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,21,97968.12749,0.1255,780.29,19.30833333,1054.01,1160,25.4,106.36,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,61,77571.30872,0.2384,804.26,14.975,927.56,1072,27.9,108.65,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,25,69398.77301,0.163,811.65,17.15833333,983.42,851,25.77,108.13,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,61988.47262,0.1388,799.31,17.775,998.99,864,25.9,108.53,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,45,77868.31276,0.1215,775.02,17.58333333,994.99,645,25.98,108.32,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,70,99431.43813,0.1495,806.02,16.73333333,969.79,1290,26.08,108.6,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,40,84450.92323,0.1029,778.24,16.275,957.06,600,26.3,108.48,Luo 1996
Subtropical evergreen broadleaved forest,Guizhou,20,45629.92126,0.2032,779.45,15.53333333,936.47,710,26.42,108.47,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,22,39547.41379,0.2784,1056.82,14.46666667,935.92,1390,26.18,110.16,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,34,78920.39258,0.1834,1023.82,14.90833333,948.35,650,26.35,110.2,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,59,83920.30156,0.1857,1067.57,13.2,888.91,870,26.53,110.56,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,111,524157.9732,0.0671,1056.82,14.46666667,935.92,1150,26.2,110.2,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,80,246497.7778,0.1125,862.81,16.9,978.99,450,26.83,109.75,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,90,1290826.772,0.0254,1064.22,17.68333333,1022.27,1120,24.7,111.55,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,124,582934.5603,0.0978,1069.6,17.35833333,1016.83,550,24.9,111.7,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,55,211086.9565,0.1564,1129.6,15.93333333,968.14,910,25.02,110.96,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,40,345864.4068,0.059,1088.35,16.25833333,983.8,1332,25.2,111.95,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,34,95760.57111,0.1821,1026.22,17.66666667,1018.67,650,25.5,111.36,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,27,104811.5299,0.1353,1034.09,18.30833333,1028.33,650,25.2,111.3,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,51,142769.1218,0.1412,871.41,16.65833333,972.32,500,26.62,109.51,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,33,189055.5556,0.09,1145.77,16.2,1003.77,700,24.9,112.8,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,35,72327.33361,0.2389,988.14,17.425,1058.64,510,25.5,113.78,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,55,48395.53255,0.3671,923.13,14.29166667,916.26,1440,29.78,110.13,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,21,48117.96663,0.2577,971.98,17.36666667,1012.29,430,25.88,111.76,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,35,149978.7686,0.0942,985.81,15.46666667,953.23,870,26.43,110.12,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,75,191289.8089,0.1256,938.73,16.30833333,968.46,740,26.72,110.12,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,24,67969.54315,0.1576,971.9,15.43333333,944.74,768,26.72,110.36,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,60,126613.4454,0.119,951.12,15.175,941.94,860,26.78,110.12,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,50,135909.0909,0.1914,968.09,14.075,911.33,880,26.93,110.19,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,59,95508.42533,0.1721,888.33,15.59166667,943.99,390,29.1,110.9,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,22,39078.5673,0.3462,977.34,15.675,952.54,580,26.35,109.84,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,60,225829.9595,0.0741,992.79,14.99166667,928.07,1260,26.7,110.6,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,24,43023.90999,0.2844,1151.34,15.49166667,981.32,1050,24.95,112.86,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,29,58583.878,0.2754,1143.73,15.6,974.62,1110,24.98,112.74,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,26,32790.8262,0.3619,1151.34,15.49166667,981.32,910,24.98,112.82,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,55,59304.69799,0.3725,1115.32,16.4,1013.88,1480,24.98,112.98,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,23,55592.01141,0.2804,909.05,16.54166667,956.46,600,28.73,110.26,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,19,68144.77212,0.1865,934.17,15.15833333,920.56,570,28.82,110.26,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,65,154567.1378,0.1132,932.21,17.29166667,1034.34,570,26.25,113.36,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,65,236148.3007,0.0971,916.16,15.66666667,944.34,700,28.13,110.47,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,45,79493.54005,0.1935,916.16,15.66666667,944.34,740,28.23,110.59,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,35,82479.16667,0.144,934.34,15.1,929.16,670,28.27,110.63,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,28,42520.29651,0.2833,940.47,17.35,1021.75,410,28.38,113.69,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,55,91504.68673,0.2027,1019.96,15.71666667,1000.27,633,26.25,113.68,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,60,82418.01487,0.2287,1019.96,15.71666667,1000.27,550,26.28,113.64,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,54,89705.88235,0.153,1147.62,13.625,934.66,1300,26.1,113.76,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,55,105310.3448,0.203,1147.14,13.59166667,943.46,1200,26.25,113.84,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,64,116071.4286,0.1372,1019.96,15.71666667,1000.27,680,26.35,113.64,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,49,194314.5743,0.1386,953.12,16.83333333,1033.49,575,26.43,113.73,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,60,56667.7763,0.3004,1175.94,13.075,930.1,250,26.5,114.05,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,54,214029.0381,0.1102,953.12,16.83333333,1033.49,827,26.5,113.7,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,20,34811.51079,0.3475,789.45,17.54166667,994.91,500,28.8,112.3,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,22,27621.38571,0.5499,1007.89,16.98333333,1025.97,360,28.23,114.02,Luo 1996
Subtropical evergreen broadleaved forest,Hunan,29,50278.76823,0.3085,1070.31,15.4,993.79,1040,28.48,114.15,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,31,159827.381,0.168,924.96,17.44166667,1066.83,600,26.5,114.4,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,7,19782.71854,0.3958,1001.97,17.80833333,1069.75,688,28.4,114.5,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,46,208444.7301,0.0778,1001.97,17.80833333,1069.75,601,28.4,114.5,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,43,364418.2125,0.0593,1001.97,17.80833333,1069.75,483,28.4,114.6,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,47,301630.0578,0.0865,997.82,18.01666667,1077.92,538,28.3,114.7,Luo 1996
Subtropical evergreen broadleaved forest,Jiangxi,13,19401.4733,0.4344,997.82,18.01666667,1077.92,813,28.3,114.7,Luo 1996
Subtropical evergreen broadleaved forest,Sichuan,105,836968.0851,0.0188,588.12,11.2,951.44,1900,28.3,103.4,Luo 1996
Subtropical evergreen broadleaved forest,Sichuan,53,350775.0473,0.0529,788.84,15.05,989.47,1520,28.8,103.5,Luo 1996
Subtropical evergreen broadleaved forest,Sichuan,40,182756.9528,0.0827,754.85,13.29166667,846.33,1200,28.64,106.39,Luo 1996
Subtropical evergreen broadleaved forest,Tibet,100,217000,0.112,510.58,8.075,995.63,1900,28.6,97.4,Luo 1996
Subtropical evergreen broadleaved forest,Tibet,67,438892.7336,0.0289,437.06,5.233333333,939.75,2670,30.2,94.9,Luo 1996
Subtropical evergreen broadleaved forest,Tibet,45,86636.85152,0.1118,171.92,-0.283333333,865.73,2980,28.9,85.2,Luo 1996
Subtropical evergreen broadleaved forest,Tibet,71,220413.3065,0.0992,599.08,9.383333333,1002.27,2020,28.4,97,Luo 1996
Subtropical evergreen broadleaved forest,Tibet,50,180819.5122,0.1025,1473.59,15.125,1013.56,2020,27.9,85.9,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,100,221920.7921,0.101,535.29,8.95,997.78,2823,27.53,99.32,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,100,180675.6757,0.0888,476.26,5.8,922.15,3385,27.97,98.96,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,100,170860,0.2,670.25,14.96666667,1095.92,2550,24.53,101,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,50,89616.14825,0.1511,640.5,14.63333333,1066.59,2394,25.28,99.68,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,60,238666.6667,0.09,640.5,14.63333333,1066.59,2488,25.28,99.73,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,90,228348.8873,0.1393,639.7,14.69166667,1075.98,2645,25.43,99.68,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,50,86496.38554,0.2075,464.29,4.791666667,901.01,3460,28.1,98.78,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,150,178123.7911,0.1034,464.62,8.066666667,994.92,3340,28.18,98.9,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,50,69956.39535,0.2064,381.11,5.883333333,932.19,4160,28.75,99.02,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,85,141242.0382,0.0942,660.63,11.69166667,1037.24,3135,26.08,99.56,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,58,116983.1411,0.1127,660.63,11.69166667,1037.24,2480,26.08,99.62,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,85,795180.7229,0.0249,659.98,10.10833333,1001.53,3450,26.37,100.1,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,45,104596.9125,0.1166,647.08,16.29166667,1162.04,2783,26.52,100.34,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,85,115643.1274,0.1586,645.56,17.73333333,1239.28,2040,26.45,101.19,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,85,414936.7089,0.0474,656.92,10.51666667,1011.79,2903,26.23,99.56,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,70,104975.3289,0.1216,632.42,12.36666667,1086.98,3060,26.67,99.8,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,120,198547.8158,0.0847,658.64,12.85,1121.26,2860,27.02,100.35,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,100,595610.1426,0.0631,569.56,9.466666667,1005,2860,27.17,99.44,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,70,310337.8378,0.0592,580.71,10.44166667,1044.67,2780,27.17,99.75,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,120,353371.6475,0.0522,613.64,7.275,972.86,3240,27.17,100.23,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,85,93790.40157,0.1021,552.34,8.616666667,994.13,2900,27.38,99.44,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,90,181660.8997,0.0867,680.5,13.30833333,1120.9,3300,26.73,100.89,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,100,175379.5812,0.0764,656.87,11.14166667,1075.21,2920,27.17,100.72,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,25,133323.6994,0.1038,655.34,11.01666667,1073.99,2570,27.32,100.9,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,20,62968.91747,0.2799,597.7,5.966666667,952.58,3280,27.67,100.54,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,70,481406.25,0.0448,764.92,12.33333333,1007.23,2900,25.58,98.78,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,42,63679.80296,0.203,987.67,18.43333333,1153.73,930,23.2,100.85,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,50,197385.4447,0.0742,633.02,16.075,1117.25,2850,25.58,99.92,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,55,175003.9032,0.1281,636.88,15.30833333,1068.5,2526,25.5,99.14,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,35,168109.319,0.1116,696.02,11.1,987.25,2790,25.8,99.08,Luo 1996
Subtropical evergreen broadleaved forest,Yunnan,45,185035.0631,0.0713,652.65,12.875,1053.94,2240,26.23,99.38,Luo 1996
Subtropical evergreen broadleaved forest,Zhejiang,35,45303.3033,0.1665,832.59,16.9,1006.14,275,30.25,120.17,Luo 1996
Subtropical evergreen broadleaved forest,Zhejiang,35,20996.9459,0.4584,963.2,16.69166667,1026.1,438,29.48,119.27,Luo 1996
Sclerophyllous evergreen Quercus forest,Sichuan,134,197268.2446,0.1014,615.26,4.458333333,904.82,3800,29,101.5,Luo 1996
Sclerophyllous evergreen Quercus forest,Sichuan,232,211768.2927,0.1148,645.1,9.808333333,1055.53,3800,27.9,101.2,Luo 1996
Sclerophyllous evergreen Quercus forest,Tibet,105,487191.601,0.0381,510.58,8.075,995.63,3000,28.6,97.4,Luo 1996
Sclerophyllous evergreen Quercus forest,Tibet,87,464710.3275,0.0397,439.83,-3.216666667,786.57,3281,29.7,96.1,Luo 1996
Sclerophyllous evergreen Quercus forest,Tibet,90,409878.6408,0.0412,439.33,4.066666667,895.46,3020,29.8,95.7,Luo 1996
