site,family,genus,species,height,biomass
Road,Poaceae,Festuca,arizonica,8.7,0.022
Road,Poaceae,Festuca,arizonica,11.4,0.082
Road,Poaceae,Festuca,arizonica,13.2,0.115
Road,Poaceae,Festuca,arizonica,9,0.099
Road,Poaceae,Festuca,arizonica,17.3,0.176
Road,Poaceae,Festuca,arizonica,9,0.065
Road,Poaceae,Festuca,arizonica,10.2,0.017
Road,Poaceae,Festuca,arizonica,12.1,0.04
Road,Poaceae,Festuca,arizonica,18.8,0.129
Road,Poaceae,Festuca,arizonica,6,0.014
Road,Poaceae,Festuca,arizonica,9,0.019
Road,Poaceae,Festuca,arizonica,11,0.017
Road,Poaceae,Festuca,arizonica,7.2,0.058
Road,Poaceae,Festuca,arizonica,5.5,0.052
Road,Poaceae,Festuca,arizonica,11.3,0.044
Road,Poaceae,Festuca,arizonica,13.3,0.062
Road,Poaceae,Festuca,arizonica,14,0.068
Road,Poaceae,Festuca,arizonica,11.7,0.046
Road,Poaceae,Festuca,arizonica,10.8,0.011
Road,Poaceae,Festuca,arizonica,11.4,0.051
Road,Poaceae,Festuca,arizonica,12.3,0.023
Road,Poaceae,Festuca,arizonica,11.8,0.078
Road,Poaceae,Festuca,arizonica,9.6,0.09
Road,Poaceae,Festuca,arizonica,11.4,0.112
Road,Poaceae,Festuca,arizonica,7.4,0.051
Road,Poaceae,Festuca,arizonica,12.7,0.038
Road,Poaceae,Festuca,arizonica,14,0.091
Road,Poaceae,Festuca,arizonica,11.8,0.092
Road,Poaceae,Festuca,arizonica,8.6,0.057
Road,Poaceae,Festuca,arizonica,5.6,0.011
Road,Poaceae,Festuca,arizonica,7.9,0.063
Road,Poaceae,Festuca,arizonica,6.3,0.04
Road,Poaceae,Festuca,arizonica,9,0.08
Road,Poaceae,Festuca,arizonica,10.1,0.077
Road,Poaceae,Festuca,arizonica,10.8,0.012
Road,Poaceae,Festuca,arizonica,7.3,0.058
Road,Poaceae,Festuca,arizonica,13,0.27
Road,Poaceae,Festuca,arizonica,6.3,0.059
Road,Poaceae,Festuca,arizonica,7.8,0.104
Road,Poaceae,Festuca,arizonica,9,0.061
Road,Poaceae,Festuca,arizonica,15.2,0.082
Road,Poaceae,Festuca,arizonica,12.2,0.086
Road,Poaceae,Festuca,arizonica,33,0.22
Road,Poaceae,Festuca,arizonica,5.2,0.042
Road,Poaceae,Festuca,arizonica,8.4,0.007
Road,Poaceae,Festuca,arizonica,8.5,0.068
Road,Poaceae,Festuca,arizonica,15.5,0.129
Road,Poaceae,Festuca,arizonica,10.3,0.083
Road,Poaceae,Festuca,arizonica,14.9,0.378
Road,Poaceae,Festuca,arizonica,12.2,0.029
Road,Poaceae,Festuca,arizonica,33.1,0.268
Road,Poaceae,Festuca,arizonica,6.2,0.03
Road,Poaceae,Festuca,arizonica,13.3,0.18
Road,Poaceae,Festuca,arizonica,12.3,0.061
Road,Poaceae,Festuca,arizonica,13.1,0.036
Road,Poaceae,Festuca,arizonica,10.2,0.111
Road,Poaceae,Festuca,arizonica,11.2,0.157
Road,Poaceae,Festuca,arizonica,12.6,0.179
Road,Poaceae,Festuca,arizonica,15.2,0.231
Road,Poaceae,Festuca,arizonica,16.1,0.108
Road,Poaceae,Festuca,arizonica,16.1,0.135
Road,Poaceae,Festuca,arizonica,38.5,0.172
Road,Poaceae,Festuca,arizonica,24.1,0.241
Road,Poaceae,Festuca,arizonica,33.1,0.254
Road,Poaceae,Festuca,arizonica,15.2,0.102
Road,Poaceae,Festuca,arizonica,4.9,0.023
Road,Poaceae,Festuca,arizonica,11.8,0.1
