Species,SpCode,Form,Regression,BSD,Ht,Spread,Canopy.diam.NS,Canopy.diam.EW,DryMassForm,DryMassSpecies,DryMass
NA,ACGR,Woody,1,17.5,342,338.5,323,354,17020.17926,20941.84871,20941.84871
NA,ACGR,Woody,1,6,133,173,167,179,1838.744058,1599.807817,1599.807817
NA,ACGR,Woody,1,32,276,526,436,616,50857.13677,55018.47055,55018.47055
NA,ACGR,Woody,1,1.5,209,139.5,91,188,384.9507539,402.5443864,402.5443864
NA,ACGR,Woody,1,9.5,341,369,324,414,9978.900959,11961.34693,11961.34693
NA,ACGR,Woody,1,12.5,331,324,333,315,11248.24914,13610.13041,13610.13041
NA,ACGR,Woody,1,13,326,267.5,215,320,9251.399354,11388.37336,11388.37336
NA,ACGR,Woody,1,5,248,185.5,180,191,2012.829469,2252.143662,2252.143662
NA,ACGR,Woody,1,21,285,301.5,332,271,16899.04107,19597.60767,19597.60767
NA,ACGR,Woody,1,4.5,277,259,162,356,2794.933796,3142.196197,3142.196197
NA,ACGR,Woody,1,5.5,265,239,197,281,3083.503851,3451.302881,3451.302881
NA,ACGR,Woody,1,14,178,377.5,310,445,12523.70151,11470.63802,11470.63802
NA,ACGR,Woody,1,3,210,164.5,130,199,969.5702752,1012.985524,1012.985524
NA,ACGR,Woody,1,6,189,243.5,241,246,3104.543242,3010.54215,3010.54215
NA,ACGR,Woody,1,41,302,455.5,403,508,56941.31617,65487.60555,65487.60555
NA,ACGR,Woody,1,3,184,171,161,181,974.6043505,958.3347328,958.3347328
NA,ACGR,Woody,1,1,131,126.5,145,108,193.3993333,166.2085447,166.2085447
NA,ACGR,Woody,1,13,322,446.5,396,497,17115.05018,19722.80669,19722.80669
NA,ACGR,Woody,1,144.5,351,760.5,765,756,412741.0673,490714.833,490714.833
NA,ACGR,Woody,1,26.5,401,481.5,433,530,42232.81027,53849.65341,53849.65341
NA,ACGR,Woody,1,5,167,188.5,167,210,1811.79781,1711.019072,1711.019072
NA,ACGR,Woody,1,3.5,103,182,146,218,1027.959514,787.4417305,787.4417305
NA,ACGR,Woody,1,11,174,253,284,222,5961.552627,5638.039243,5638.039243
NA,ACGR,Woody,1,16,356,336,337,335,15558.51377,19447.07693,19447.07693
NA,ACGR,Woody,1,2.5,121,139,133,145,549.7182617,461.760499,461.760499
NA,ACGR,Woody,1,19,288,345.5,402,289,18007.07978,20589.78885,20589.78885
NA,ACGR,Woody,1,34.5,278,376.5,369,384,36807.55742,41632.46361,41632.46361
NA,ACGR,Woody,1,18,252,324.5,313,336,15127.50684,16445.72756,16445.72756
NA,ACGR,Woody,1,13.5,200,295.5,312,279,9304.293227,9209.44458,9209.44458
NA,ACGR,Woody,1,2.5,192,133,141,125,602.7950491,619.0705022,619.0705022
NA,ACGR,Woody,1,2,193,130,121,139,465.391673,477.7426622,477.7426622
NA,ACGR,Woody,1,6,241,221,272,170,2981.118573,3241.731616,3241.731616
NA,ACGR,Woody,1,9,333,329.5,238,421,8164.381138,9806.575516,9806.575516
NA,ACGR,Woody,1,6.5,439,212,181,243,3722.997123,5256.53255,5256.53255
NA,ACGR,Woody,1,4,118,181.5,172,191,1229.22391,1001.020918,1001.020918
NA,ACGR,Woody,1,19.5,275,436.5,565,308,24187.07027,26394.53546,26394.53546
NA,ACGR,Woody,1,2,184,147,121,173,531.8375213,527.2662497,527.2662497
NA,ACGR,Woody,1,8.5,236,251,221,281,4967.084705,5317.577397,5317.577397
NA,ACGR,Woody,1,10,206,236.5,222,251,5246.780248,5360.796768,5360.796768
NA,ACGR,Woody,1,9.5,287,364,453,275,9296.716728,10374.87778,10374.87778
NA,ACGR,Woody,1,2.5,147,173.5,171,176,764.0563803,678.928794,678.928794
NA,ACGR,Woody,1,8.5,169,189,175,203,3173.333666,3049.648457,3049.648457
NA,ACGR,Woody,1,4,163,140,120,160,994.4916116,957.8056628,957.8056628
NA,ACWR,Herb,Herb,2.5,45,54,45,63,88.26895308,NA,88.26895308
NA,ACWR,Herb,Herb,2.5,64,50.5,51,50,91.53448785,NA,91.53448785
NA,ACWR,Herb,Herb,4,100,158.5,159,158,712.0718324,NA,712.0718324
NA,ACWR,Herb,Herb,6.5,62,68.5,64,73,326.8899266,NA,326.8899266
NA,ACWR,Herb,Herb,20.5,106,136.5,153,120,2778.444996,NA,2778.444996
NA,ACWR,Herb,Herb,4.5,70,45.5,41,50,143.4246446,NA,143.4246446
NA,ACWR,Herb,Herb,5,67,44.5,39,50,151.5821266,NA,151.5821266
NA,ACWR,Herb,Herb,8,85,84.5,76,93,578.5915409,NA,578.5915409
NA,ACWR,Herb,Herb,7,47,106.5,116,97,558.6200206,NA,558.6200206
NA,ACWR,Herb,Herb,3.5,63,97.5,104,91,288.4574329,NA,288.4574329
NA,ACWR,Herb,Herb,2,61,106.5,112,101,188.9215784,NA,188.9215784
NA,ACWR,Herb,Herb,4.5,64,108.5,124,93,420.604068,NA,420.604068
NA,ACWR,Herb,Herb,5,80,82.5,93,72,353.7588015,NA,353.7588015
NA,ACWR,Herb,Herb,5.5,81,86,99,73,409.5907794,NA,409.5907794
NA,ACWR,Herb,Herb,2.5,61,55.5,58,53,101.5320673,NA,101.5320673
NA,ACWR,Herb,Herb,8,66,68.5,72,65,405.7917147,NA,405.7917147
NA,ACWR,Herb,Herb,4.5,64,17.5,22,13,41.17694674,NA,41.17694674
NA,ACWR,Herb,Herb,3.5,73,26.5,31,22,57.75814097,NA,57.75814097
NA,ACWR,Herb,Herb,3.5,62,27.5,26,29,57.22671059,NA,57.22671059
NA,ACWR,Herb,Herb,4,68,33.5,32,35,86.09517722,NA,86.09517722
NA,ACWR,Herb,Herb,6,73,49,55,43,209.4186256,NA,209.4186256
NA,ACWR,Herb,Herb,4.5,59,38,42,34,107.4834645,NA,107.4834645
NA,ACWR,Herb,Herb,23.5,67,117,100,134,2214.654845,NA,2214.654845
NA,ACWR,Herb,Herb,9.5,96,129,88,170,1215.04566,NA,1215.04566
NA,ACWR,Herb,Herb,13,86,95.5,75,116,1070.157386,NA,1070.157386
NA,ACWR,Herb,Herb,8,68,111,121,101,758.1890508,NA,758.1890508
NA,ACWR,Herb,Herb,6,74,62,45,79,283.9334933,NA,283.9334933
NA,ACWR,Herb,Herb,6.5,101,83,66,100,494.1037262,NA,494.1037262
NA,ACWR,Herb,Herb,16,93,136,142,130,2095.356992,NA,2095.356992
NA,ACWR,Herb,Herb,6,97,49,53,45,231.0259425,NA,231.0259425
NA,ACWR,Herb,Herb,5,84,60,67,53,239.8168406,NA,239.8168406
NA,ACWR,Herb,Herb,5,61,117.5,124,111,505.4022029,NA,505.4022029
