Species,Code,DBH,Biomass
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.6,3.020278865
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.7,3.228584318
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.8,3.445122962
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,3.9,3.669990691
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4,3.903281985
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.1,4.145089959
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.2,4.395506422
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.3,4.654621925
Acer saccharum,ACSA,4.4,4.922525804
Acer saccharum,ACSA,4.4,4.922525804
Acer saccharum,ACSA,4.4,4.922525804
Acer saccharum,ACSA,4.4,4.922525804
Acer saccharum,ACSA,4.4,4.922525804
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.5,5.199306229
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.6,5.485050244
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.7,5.779843804
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.8,6.083771812
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,4.9,6.396918156
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5,6.719365742
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.1,7.051196522
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.2,7.392491526
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.3,7.74333089
Acer saccharum,ACSA,5.4,8.103793884
Acer saccharum,ACSA,5.4,8.103793884
Acer saccharum,ACSA,5.4,8.103793884
Acer saccharum,ACSA,5.4,8.103793884
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.5,8.473958934
Acer saccharum,ACSA,5.6,8.853903651
Acer saccharum,ACSA,5.6,8.853903651
Acer saccharum,ACSA,5.6,8.853903651
Acer saccharum,ACSA,5.6,8.853903651
Acer saccharum,ACSA,5.6,8.853903651
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.7,9.243704847
Acer saccharum,ACSA,5.8,9.643438568
Acer saccharum,ACSA,5.8,9.643438568
Acer saccharum,ACSA,5.8,9.643438568
Acer saccharum,ACSA,5.8,9.643438568
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,5.9,10.0531801
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6,10.47300401
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.1,10.90298415
Acer saccharum,ACSA,6.2,11.34319366
Acer saccharum,ACSA,6.2,11.34319366
Acer saccharum,ACSA,6.2,11.34319366
Acer saccharum,ACSA,6.3,11.79370504
Acer saccharum,ACSA,6.3,11.79370504
Acer saccharum,ACSA,6.3,11.79370504
Acer saccharum,ACSA,6.3,11.79370504
Acer saccharum,ACSA,6.3,11.79370504
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.4,12.25459009
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.5,12.72592001
Acer saccharum,ACSA,6.6,13.20776534
Acer saccharum,ACSA,6.6,13.20776534
Acer saccharum,ACSA,6.6,13.20776534
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.7,13.70019602
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.8,14.2032814
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,6.9,14.71709024
Acer saccharum,ACSA,7,15.24169074
Acer saccharum,ACSA,7,15.24169074
Acer saccharum,ACSA,7,15.24169074
Acer saccharum,ACSA,7.1,15.77715051
Acer saccharum,ACSA,7.1,15.77715051
Acer saccharum,ACSA,7.2,16.32353667
Acer saccharum,ACSA,7.2,16.32353667
Acer saccharum,ACSA,7.2,16.32353667
Acer saccharum,ACSA,7.2,16.32353667
Acer saccharum,ACSA,7.3,16.88091575
Acer saccharum,ACSA,7.4,17.4493538
Acer saccharum,ACSA,7.4,17.4493538
Acer saccharum,ACSA,7.4,17.4493538
Acer saccharum,ACSA,7.4,17.4493538
Acer saccharum,ACSA,7.5,18.02891635
Acer saccharum,ACSA,7.5,18.02891635
Acer saccharum,ACSA,7.6,18.61966841
Acer saccharum,ACSA,7.6,18.61966841
Acer saccharum,ACSA,7.6,18.61966841
Acer saccharum,ACSA,7.6,18.61966841
