Field Name,Weight
Blu,0.5325
Odi,0.4329
Odi,0.2083
Fox,0.182
Sti,0.2794
Snap,1.6645
Hor,1.1558
Odi,0.5311
Fox,0.8648
Odi,0.7875
Hor,0.5393
Odi,0.9388
Odi,0.7684
Odi,1.0718
Sti,0.8395
Odi,0.672
Dead,1.1094
Odi,0.6015
Sti,1.4635
Fox,1.015
Fox,0.9602
Fox,1.7344
Fox,1.3105
Fox,0.2765
Odi,1.4166
Hor,0.4143
Odi,0.8187
Odi,1.351
Hor,0.6355
Fox,0.8642
Fox,0.788
Odi,0.5779
Odi,0.741
Odi,1.0424
Fox,1.3883
Odi,1.48
Odi,1.4246
Odi,1.5869
Fla,0.1131
Red ,0.0376
Hor,0.562
Fox,0.203
Red,0.3513
Fla,0.0528
Fox,0.6509
Fox,0.834
Cla,0.2157
Tri,0.2342
Fox,0.1869
Dead,0.2872
Fox,0.1048
Red,0.3014
Cla,0.3033
Mint,0.1793
Red,0.188
Fox,0.2883
Fox,0.1409
Red,0.1007
Tri,0.4395
Fla,0.2471
Red,0.0945
Dead,0.218
Hor,0.1001
Fox,0.2403
Fla,0.3957
Fox,0.1741
Red,0.0314
Dead,0.2023
Red,0.1696
Fox,0.2738
Fox,0.1516
Fox,0.333
Mint,0.5049
Fla,0.0752
Red,0.1503
Fox,0.1304
Fox,0.1228
Fox,0.0898
Hor,0.473
Fla,0.0251
Fox,0.4371
Fox,0.2655
Fox,0.1317
Odi,0.0327
Dead,0.1944
Hor,0.1822
Fox,0.1179
Bul,0.3883
Fox,0.1439
Fox,0.1391
Fox,0.0958
Fox,0.2785
Tri,0.1137
Fla,0.0389
Fox,0.5621
Red,0.0072
Fla,0.1713
Fox,0.2638
Odi,0.0367
Fox,0.0375
Fla,0.2542
Hor,0.0652
Fox,0.1882
Odi,0.0952
Cla,0.3119
Fla,0.0426
Dead,0.2758
Fla,0.1838
Fla,0.1131
Fla,0.221
Fox,0.3224
Hor,0.237
Fox,0.1858
Fox,0.1394
Fox,0.0967
Sti,0.1919
Sti,0.3868
Red,0.2767
Fla,0.0953
Tri,0.1052
Sti,0.0699
Hor,0.1642
Odi,0.1287
Fox,0.2167
Fox,0.1539
Fla,0.1151
Fox,0.3644
Fox,0.191
Fox,0.4354
Fox,0.1648
Bul,0.4438
Fox,0.3528
Fox,0.2307
Cla,0.4876
Odi,0.0897
Odi,0.0862
Fox,0.1242
Mint,0.2887
Fox,0.0492
Arr,0.0515
Fox,0.0758
Fox,0.3473
Sti,0.5648
Odi,0.0333
Fox,0.3735
Fla,0.5433
Odi,0.1048
Dead,0.3156
Fox,0.3697
Cla,0.1941
Red,0.027
Fla,0.0152
Odi,0.515
Fox,0.7671
Fla,0.0573
Hor,0.4418
Fla,0.269
Fla,0.0934
Red,0.0457
Fox,0.018
Fox,0.7075
Odi,0.4144
Fox,0.1347
Odi,0.3446
Odi,0.1745
Fox,0.147
Fla,0.087
Fox,1.0938
Fla,0.1238
Cla,0.1302
Red,0.1718
Cla,0.2207
Tin,0.2608
Odi,0.0068
Fla,0.1338
Cla,0.20545
Cla,0.1288
Fla,0.0438
