Field Name,Weight,,,,
Hor,0.6467,502,,,
Hor,0.6695,503,,,
Hor,0.1977,504,,,
Fox,0.7091,505,,,
Hor,0.1872,506,,,
Hor,0.4766,507,,,
Fox,0.1152,508,,,
Fox,0.7658,509,,,
Hor,0.5518,510,,,
Fox,0.4692,511,,,
Fox,0.053,512,,,
Fox,0.7359,513,,,
Fox,0.382,514,,,
Odi,0.9998,515,,,
Fox,0.8083,516,,,
Arr,0.309,517,,,
Fox,0.7953,518,,,
Sti,1.3996,519,,,
Sti,0.3805,520,,,
Fox,0.7013,521,,,
Fox,0.4305,522,,,
Fox,0.5926,523,,,
Fox,0.3698,524,,,
Sti,0.4915,525,,,
Hor,0.3826,526,,,
Fox,0.4111,527,,,
Sti,0.0871,528,,,
Fox,0.496,529,,,
Fox,0.1393,530,,,
Fox,0.6731,531,,,
Fox,0.7717,532,,,
Fox,0.8363,533,,,
Arr,0.0693,534,,,
Sti,0.2818,535,,,
Fox,0.4941,536,,,
Fox,0.8154,537,,,
Fox,0.7509,538,,,
Tri,0.4319,539,,,
Fox,0.4237,540,,,
Fox,0.5733,541,,,
Fox,0.5063,542,,,
Odi,0.2176,543,,,
Odi,0.1959,544,,,
Fox,0.187,545,,,
Fox,0.5602,546,,,
Fox,0.3984,547,,,
Fox,0.3204,548,,,
Fox,0.1752,549,,,
Fox,0.5963,550,,,
Fox,0.6882,551,,,
Odi,0.5885,552,,,
Sti,1.0668,553,,,
Fox,0.4318,554,,,
Fox,0.5029,555,,,
Fox,0.7945,556,,,
Gold,0.2467,557,,,
Red,0.1205,558,,,
Sti,0.2994,559,,,
Fox,0.3692,560,,,
Odi,0.095,561,,,
Fox,0.2881,562,,,
Fox,0.4006,563,,,
Fox,0.306,564,,,
Odi,0.416,565,,,
Fox,0.1572,566,,,
Fox,0.4349,567,,,
Fox,0.7168,568,,,
Fox,0.8721,569,,,
Fox,0.2745,570,,,
Fox,0.9063,571,,,
Bul,0.63,572,,,
