Morpho,mass.g
Fuzzy Sheath,0.582
Goldenrod,0.2278
Goldenrod,0.0646
Goldenrod,0.241
Goldenrod,0.3419
Goldenrod,0.4597
Goldenrod,0.1724
Goldenrod,0.3183
Goldenrod,0.6048
Goldenrod,0.6451
Goldenrod,0.2355
Goldenrod,0.0173
Hairy Grass,0.0104
Hairy Grass,0.0958
Hairy Grass,0.222
Horsetail,0.7
Mini Rod,0.1207
Mini Rod,0.7927
Mini Rod,0.1085
Mini Rod,0.0908
Mini Rod,0.1935
Mini Rod,0.0663
Mini Rod,0.6427
Mini Rod,0.4154
Mini Rod,0.2199
Mini Rod,0.1658
Mini Rod,0.278
Mini Rod,0.4237
Mini Rod,0.1403
Mini Rod,0.1698
Mini Rod,0.9613
Mini Rod,0.0926
Mini Rod,0.2455
Mini Rod,0.1052
Mini Rod,0.1595
Mini Rod,0.241
Mini Rod,0.1735
Mini Rod,0.2773
Mini Rod,0.4016
Opposite 3-Leaflet,16.5
Opposite 3-Leaflet,0.2451
Opposite Ovate Leaflet,0.3932
Purple Disc,0.6379
Purple Disc,1.3
Purple Disc,0.077
Rough Edge Grass,2.8
Rough Edge Grass,7.7
Rough Notched Rosette,0.0795
Sandy Split Leaf,0.1291
Sandy Split Leaf,0.2117
Sandy Split Leaf,0.2565
Sandy Split Leaf,0.006
Serrated Tongue,0.0208
Serrated Tongue,0.0195
Serrated Tongue,0.2467
Serrated Tongue,0.0245
Spade Leaf,0.0172
Spade Leaf,0.0145
Spade Leaf,0.0192
Spade Leaf,0.0173
Spade Leaf,0.0097
Twisted Flower,0.0837
Woody Serrated Leaf,0.066
Woody Serrated Leaf,0.5673
Woody Serrated Leaf,0.0191
Woody Serrated Leaf,0.0228
Horsetail,0.0585
Horsetail,0.0957
Mini Rod,0.1065
Serrated Tongue,0.0446
Serrated Tongue,0.0296
