Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",10,13242.0091,0.3504,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",15,26628.0259,0.2933,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",20,41622.6415,0.265,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",25,60321.7158,0.2238,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",29,78387.7349,0.2022,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Saitama Prefecture, Nishikawa, near Hanno city",35,119840.365,0.1754,1241.87,10.58333333,831.19,-9999,36 N,139 E,Cannell (1982).   Page 156
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",9,8687.78281,0.221,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",16,23567.1192,0.2652,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",20,43397.8133,0.2387,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",26,71154.9623,0.1723,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",29,94044.5026,0.1528,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",34,146761.985,0.1189,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",45,228588.808,0.0822,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Ibaraki-Fuckushima Prefecture, Kitakanto-Abukuma District",53,336088.154,0.0726,1200.91,12.39166667,846.15,-9999,37 00'N,140 40'E,Cannell (1982).   Page 157
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",10,8600,0.15,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",17,30045.425,0.1541,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",21,93716.143,0.0923,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",25,135441.527,0.0838,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",31,188261.516,0.0673,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",34,278434.783,0.0575,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",39,354148.472,0.0458,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Miyazaki Prefecture,Obi District, near Nichinan city",45,456321.839,0.0435,2319.14,17.36666667,1091.24,50,31 40'N,131 20'E,Cannell (1982).   Page 158
Cryptomeria japonica ,"Japan, Shizuka Prefecture",28,72674.4186,0.172,1787.77,14.175,1001.56,760,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",28,23214.2857,0.28,1787.77,14.175,1001.56,680,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",35,54655.8704,0.247,1787.77,14.175,1001.56,760,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",38,89268.2927,0.205,1787.77,14.175,1001.56,700,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",38,146808.511,0.141,1787.77,14.175,1001.56,560,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",48,260465.116,0.086,1787.77,14.175,1001.56,940,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",48,170000,0.11,1787.77,14.175,1001.56,1040,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Shizuka Prefecture",49,122900.763,0.131,1787.77,14.175,1001.56,900,35 N,138 E,Cannell (1982).   Page 159
Cryptomeria japonica ,"Japan, Saitama Prefecture, Chichibu",55,69825.4364,0.2005,1179.13,13.09166667,901.36,300,36 00'N,139 08'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Saitama Prefecture, Chichibu",55,90594.0594,0.202,1179.13,13.09166667,901.36,300,36 00'N,139 08'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Saitama Prefecture, Chichibu",55,211206.897,0.0928,1179.13,13.09166667,901.36,300,36 00'N,139 08'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Niigata Prefecture, Murakami",59,336917.563,0.0837,1407.34,11.51666667,842.94,160-180,38 13'N,139 28'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Niigata Prefecture, Murakami",59,42910.4478,0.268,1407.34,11.51666667,842.94,160-180,38 13'N,139 28'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Niigata Prefecture, Murakami",59,512077.295,0.0621,1407.34,11.51666667,842.94,160-180,38 13'N,139 28'E,Cannell (1982).   Page 160
Cryptomeria japonica ,"Japan, Yamaguchi Prefecture, Tokuyama nursery",10,1887.32394,4.26,1513.05,15.23333333,970.19,50,34 04'N,131 48'E,Cannell (1982).   Page 161
Cryptomeria japonica ,"Japan, Yamaguchi Prefecture, Tokuyama nursery",10,1462.72494,3.89,1513.05,15.23333333,970.19,50,34 04'N,131 48'E,Cannell (1982).   Page 161
Cryptomeria japonica ,"Japan, Mie Prefecture, Ichishi nursery",9,209,10,1850.58,15.625,1022.49,50,34 40'N,136 30'E,Cannell (1982).   Page 161
Cryptomeria japonica ,"Japan, Mie Prefecture, Kii Peninsula",12,15296.4297,0.6106,2201.86,14.24166667,961.21,400,34 30'N,136 20'E,Cannell (1982).   Page 162
Cryptomeria japonica ,"Japan, Mie Prefecture, Kii Peninsula",12,17285.7143,0.56,2201.86,14.24166667,961.21,400,34 30'N,136 20'E,Cannell (1982).   Page 162
Cryptomeria japonica ,"Japan, Chiba Perfecture,sourth Boso Peninsula",13,22479.1667,0.48,-9999,-9999,-9999,-9999,35 N,140 E,Cannell (1982).   Page 163
Cryptomeria japonica ,"Japan, Chiba Perfecture,sourth Boso Peninsula",13,23021.2766,0.47,-9999,-9999,-9999,-9999,35 N,140 E,Cannell (1982).   Page 163
Cryptomeria japonica ,"Japan, Chiba Perfecture,sourth Boso Peninsula",13,24972.973,0.37,-9999,-9999,-9999,-9999,35 N,140 E,Cannell (1982).   Page 163
Cryptomeria japonica ,"Japan, Chiba Perfecture,sourth Boso Peninsula",13,22395.3488,0.43,-9999,-9999,-9999,-9999,35 N,140 E,Cannell (1982).   Page 163
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",10,15568.1818,0.44,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",11,18045.4545,0.44,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",12,21613.6364,0.44,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",13,25619.0476,0.42,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",14,26428.5714,0.42,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",15,27951.2195,0.41,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",16,29707.3171,0.41,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 164
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",10,16981.7073,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",11,19481.7073,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",12,23445.122,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",13,26829.2683,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",14,28871.9512,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",15,29786.5854,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",16,32286.5854,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 165
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",10,26083.3333,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",11,31583.3333,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",12,39416.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",13,47916.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",14,54750,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",15,61916.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Cryptomeria japonica ,"Japan, Nara Prefecture,Yoshino District",16,70916.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 166
Larix leptoleptis with understorey broadleaved trees.,"Japan, Iwate Prefecture, Morioka city ",39,142424.242,0.1155,1185.51,8.375,762.2,360,39 45'N,141 08'E,Cannell (1982).   Page 167
Larix leptolepis with understorey shrubs.,"Japan, Hokkaido, near Mount Asibetu",21,42741.9355,0.124,1077.77,3.616666667,608.16,230,43 13'N,142 33'E,Cannell (1982).   Page 167
Metasequoia glyptostroboides,"Japan, Yamagchi Prefecture",9,8414.23948,0.618,1623.24,14.50833333,939.81,30,34 10'N,131 30'E,Cannell (1982).   Page 168
Metasequoia glyptostroboides,"Japan, Yamagchi Prefecture",9,5790.69767,1.29,1623.24,14.50833333,939.81,30,34 10'N,131 30'E,Cannell (1982).   Page 168
Picea abies,"Japan, Hokkaido",47,499795.082,0.0488,1029.68,5.7,654.41,360,44 13'N,142 26'E,Cannell (1982).   Page 169
Picea abies,"Japan, Hokkaido",46,195502.6455,0.0756,1029.68,5.7,654.41,360,44 13'N,142 26'E,Cannell (1982).   Page 169
Picea abies,"Japan, Hokkaido",46,206878.3069,0.0756,1029.68,5.7,654.41,360,44 13'N,142 26'E,Cannell (1982).   Page 169
Picea abies,"Japan, Hokkaido",45,134792.1225,0.0914,1029.68,5.7,654.41,360,44 13'N,142 26'E,Cannell (1982).   Page 169
Picea abies,"Japan, Titibu",39,98660.71429,0.224,1351,8.416666667,767.6,1030,35 56'N,138 51'E,Cannell (1982).   Page 170
Picea abies,"Japan, Ashu, Kyoto University Forest",30,164272.3881,0.1072,1351,8.416666667,767.6,1030,35 56'N,138 51'E,Cannell (1982).   Page 170
Pinus densiflora,"Japan, Iwate Prefecture",46,275675.6757,0.037,-9999,-9999,-9999,-9999,41 30'N,139 30'E,Cannell (1982).   Page 173
Pinus densiflora,"Japan, Iwate Prefecture",44,192666.6667,0.075,-9999,-9999,-9999,-9999,41 30'N,139 30'E,Cannell (1982).   Page 173
Pinus densiflora,"Japan, Iwate Prefecture",43,174033.6967,0.1009,-9999,-9999,-9999,-9999,41 30'N,139 30'E,Cannell (1982).   Page 173
Pinus densiflora,"Japan, Iwate Prefecture",46,169541.9847,0.131,-9999,-9999,-9999,-9999,41 30'N,139 30'E,Cannell (1982).   Page 173
Pinus densiflora,"Japan, Iwate Prefecture",33,79017.09402,0.234,-9999,-9999,-9999,-9999,41 30'N,139 30'E,Cannell (1982).   Page 173
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,25954.5455,0.22,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,25550,0.2,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,18607.1429,0.28,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,14925,0.4,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,9444.44444,0.54,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus elliottii,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",8,17068.9655,0.58,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 175
Pinus pumila,"Japan, near Mount Tsurugi",22,197.75,40,1729.93,8.566666667,750.32,2200-2800,36 30'N,137 00'E,Cannell (1982).   Page 176
Pinus pumila,"Japan, near Mount Tsurugi",22,85.90909091,88,1729.93,8.566666667,750.32,2200-2800,36 30'N,137 00'E,Cannell (1982).   Page 176
Pinus pumila,"Japan, near Mount Tsurugi",40,163.8888889,36,1729.93,8.566666667,750.32,2200-2800,36 30'N,137 00'E,Cannell (1982).   Page 176
Pinus pumila,"Japan, near Mount Tsurugi",45,1572.5,8,1729.93,8.566666667,750.32,2200-2800,36 30'N,137 00'E,Cannell (1982).   Page 176
Pinus strobus,"Japan, Nagano Prefecture, near Iida City, Achi National Forest",11,8400,0.3,1490.51,10.40833333,863.69,1100,35 32'N,137 48'E,Cannell (1982).   Page 177
Pinus strobus,"Japan, Nagano Prefecture, near Iida City, Achi National Forest",11,7323.529412,0.34,1490.51,10.40833333,863.69,1100,35 32'N,137 48'E,Cannell (1982).   Page 177
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,21829.62246,0.2066,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,19990.702,0.2151,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,9152.542373,0.3835,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,14262.94821,0.3765,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,13417.99266,0.6536,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus taeda,"Japan, Wakayama Prefecture, Shirahama, Kyoto University Forest",7,12257.37429,0.6543,2290.73,15.46666667,1075.21,50,33 40'N,135 30'E,Cannell (1982).   Page 178
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,8232.551362,0.6863,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,9376.296501,0.7231,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,13590.13867,0.3245,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,4942.05117,0.4573,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,3714.229714,1.0204,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Shinuoka Prefecture, near Ito city",10,2137.62215,0.9824,1973.45,14.29166667,960.52,-9999,35 00'N,139 00'E,Cannell (1982).   Page 181
Pinus thunbergii,"Japan, Kyoto University Forest ",14,6577.916993,0.2554,1305.55,14.55833333,994.18,-9999,35 N,135 00'E,Cannell (1982).   Page 182
Pinus thunbergii,"Japan, Kyoto University Forest ",14,3139.464681,0.9938,1305.55,14.55833333,994.18,-9999,35 N,135 00'E,Cannell (1982).   Page 182
Pinus thunbergii,"Japan, Kyoto University Forest ",14,4205.97632,2.6605,1305.55,14.55833333,994.18,-9999,35 N,135 00'E,Cannell (1982).   Page 182
Pinus thunbergii,"Japan, Kyoto University Forest ",14,1891.569315,2.7649,1305.55,14.55833333,994.18,-9999,35 N,135 00'E,Cannell (1982).   Page 182
Pinus thunbergii,"Japan, Shizuoka University Forest",16,7766.196607,0.9786,1305.55,14.55833333,994.18,-9999,35 N,135 00'E,Cannell (1982).   Page 182
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",3.3,429729.7297,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 190
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",8.6,448648.6486,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 190
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",9.6,543243.2432,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",10.6,548648.6486,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",11.4,627027.027,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",13.2,777702.7027,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",14.4,676351.3514,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Elaeis guineensis (oil palm),"Malaysia,Selangor, Bantung",15.3,895945.9459,0.0148,2122.29,27.11666667,1424.74,Oct-50,3 20'N,101 20'E,Cannell (1982).   Page 191
Hevea braziliensis,"Malaysia,near Kuala Lumpur",4,98039.2157,0.0408,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 192
Hevea braziliensis,"Malaysia,near Kuala Lumpur",5,130727.763,0.0371,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 192
Hevea braziliensis,"Malaysia,near Kuala Lumpur",6,296531.792,0.0346,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 192
Hevea braziliensis,"Malaysia,near Kuala Lumpur",8,232087.227,0.0321,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 193
Hevea braziliensis,"Malaysia,near Kuala Lumpur",10,881081.081,0.0296,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 193
Hevea braziliensis,"Malaysia,near Kuala Lumpur",11,696283.784,0.0296,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 193
Hevea braziliensis,"Malaysia,near Kuala Lumpur",24,931174.089,0.0247,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 193
Hevea braziliensis,"Malaysia,near Kuala Lumpur",33,1800749.06,0.0267,2206.9,27.09166667,1421.93,50-200,3 10'N,101 40'E,Cannell (1982).   Page 193
Pinus nigra var. austriaca syn. var. nigra.,"Netherlands, North Holland, Bakkum",22,17208.3333,0.48,736.09,9.391666667,598.19,4,52 34'N,4 39'E,Cannell (1982).   Page 202
Pinus radiata,"New Zealand, Kaingaroa Forest",4,9501.491265,0.2347,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",6,23426.25899,0.2224,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",8,53749.17054,0.1507,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",8,66544.11765,0.0544,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",9,77573.52941,0.0544,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",10,132169.1176,0.0544,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Pinus radiata,"New Zealand, Kaingaroa Forest",17,321052.6316,0.0855,1273.83,12.30833333,759.8,500,38 18'S,176 44'E,Cannell (1982).   Page 206
Elaeis guineensis (oil palm),"Nigeria, near Benin city",17,385714.286,0.0147,1964.94,27.09166667,1358.57,50,6 20'N,5 40'E,Cannell (1982).   Page 207
Elaeis guineensis (oil palm),"Nigeria, near Benin city",20,597959.184,0.0147,1964.94,27.09166667,1358.57,50,6 20'N,5 40'E,Cannell (1982).   Page 207
Pinus caribaea var. hondurensis,"Nigeria, Ibadan",6,26044.0395,0.2634,-9999,-9999,-9999,200,7 23'N,3 56'E,Cannell (1982).   Page 208
Pinus sylvestris,"Sweden, Lisselbo",13,16003.5367,0.1131,521.97,4.95,517.25,10,60 20'N,17 13'E,Cannell (1982).   Page 226
Pinus sylvestris,"Sweden, Lisselbo",13,28475.7119,0.1194,521.97,4.95,517.25,10,60 20'N,17 13'E,Cannell (1982).   Page 226
Pinus sylvestris,"Sweden, Lisselbo",13,25000,0.1244,521.97,4.95,517.25,10,60 20'N,17 13'E,Cannell (1982).   Page 226
Pinus sylvestris,"Sweden, Lisselbo",13,20452.7713,0.1281,521.97,4.95,517.25,10,60 20'N,17 13'E,Cannell (1982).   Page 226
Pinus sylvestris,"Sweden, Lisselbo",13,24394.4637,0.1156,521.97,4.95,517.25,10,60 20'N,17 13'E,Cannell (1982).   Page 226
Picea sitchensis,"U.K.,Scotland, near Moffat, Greskine Forest",17,28268.2735,0.3817,1566.47,6.833333333,427,355,55 19'N,3 33'W,Cannell (1982).   Page 242
Pinus nigra var. calabrica syn. var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",18,4952.78474,0.5189,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus nigra var. calabrica syn. var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",28,18957.8714,0.3608,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus nigra var. calabrica syn. var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",48,100809.353,0.1112,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus sylvestria,"U.K.,Scotland, Morayshire, Culbin Forest",18,10599.3448,0.5189,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus sylvestria,"U.K.,Scotland, Morayshire, Culbin Forest",28,44282.3529,0.2125,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus sylvestria,"U.K.,Scotland, Morayshire, Culbin Forest",64,145766.871,0.0815,616.87,7.858333333,515.93,10,57 39'N,3 40'W,Cannell (1982).   Page 243
Pinus sylvestria,"U.K.,Scotland, near Jedburgh",33,32887.3239,0.426,-9999,-9999,-9999,168,55 30'N,2 40'W,Cannell (1982).   Page 245
Pinus nigra var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",39,53981.0427,0.211,616.87,7.858333333,515.93,50,57 39'N,3 40'W,Cannell (1982).   Page 246
Pinus nigra var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",39,58293.8389,0.211,616.87,7.858333333,515.93,50,57 39'N,3 40'W,Cannell (1982).   Page 246
Pinus nigra var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",39,61658.7678,0.211,616.87,7.858333333,515.93,50,57 39'N,3 40'W,Cannell (1982).   Page 246
Pinus nigra var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",39,62511.8483,0.211,616.87,7.858333333,515.93,50,57 39'N,3 40'W,Cannell (1982).   Page 246
Pinus nigra var. maritima,"U.K.,Scotland, Morayshire, Culbin Forest",39,67000,0.211,616.87,7.858333333,515.93,50,57 39'N,3 40'W,Cannell (1982).   Page 246
Pinus nigra var. maritima,"U.K.,Scotland, ",20,15373.2081,0.4046,1093.9,8.083333333,498.41,-9999,54-58 N,2-6 W,Cannell (1982).   Page 247
Pinus nigra var. maritima,"U.K.,Scotland, ",30,62097.7354,0.1687,1093.9,8.083333333,498.41,-9999,54-58 N,2-6 W,Cannell (1982).   Page 247
