Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Subtropical Cunninghamia lanceolata forest,Fujian,21,22525,0.24,662.04,20.36666667,1183.58,400,24.4,117.6,Luo 1996
Subtropical Cunninghamia lanceolata forest,Taiwan,18,96932.92683,0.164,1196.27,12.90833333,913.5,1707,24.52,121.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,16,32550.11136,0.1796,872.18,20.225,1072.43,205,24.58,108.75,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,21,39521.47239,0.163,833.31,19.21666667,1124.69,400,24.7,117.2,Luo 1996
Subtropical Cunninghamia lanceolata forest,Taiwan,18,92941.17647,0.17,1120.81,18.79166667,1103.91,460,24.83,121.57,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,24,37174.90842,0.2184,1052.1,18.75833333,1042.94,624,25.17,111.04,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,21,34488.39662,0.1896,1044.09,18.44166667,1033.5,810,25.23,111.12,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,22,43593.75,0.128,895.44,18.55,1025.11,419,25.3,109.09,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,16,26819.98022,0.2022,837.08,15.86666667,1005.78,1445,25.4,105.21,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,114358.9744,0.195,821.3,17.55833333,988.83,461,25.48,107.17,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,19,46210.81081,0.185,889.65,16.425,963.45,365,25.5,108.61,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,17,43867.0412,0.1068,1085.51,18.63333333,1028.2,966,25.53,110.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,16,54121.36536,0.1582,1035.32,16.475,972.08,750,25.75,109.8,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guangxi,28,68471.42857,0.14,1066.39,15.74166667,952.26,380,25.8,110,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,30,24151.12856,0.2038,911.75,16.43333333,967.78,430,26.12,109.4,Luo 1996
Subtropical Cunninghamia lanceolata forest,Hunan,18,82988.74531,0.2399,940.54,16.38333333,967.78,450,26.2,109.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,32,94524.32432,0.185,922,17.7,1079.63,220,26.3,114.5,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,26,41238.63636,0.176,814.29,14.95833333,942.58,1402,26.48,106.17,Luo 1996
Subtropical Cunninghamia lanceolata forest,Jiangxi,25,72069.46454,0.2073,924.96,17.44166667,1066.83,300,26.5,114.4,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,18,53450.13477,0.1113,809.73,15.50833333,941.27,860,26.53,108.91,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,20,92745.37037,0.216,1033.16,18.89166667,1089.5,450,26.6,118.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,39,321993.007,0.1716,1033.16,18.89166667,1089.5,450,26.6,118.1,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,27,135616.1746,0.1558,1040.11,18.93333333,1079.48,400,26.6,117.9,Luo 1996
Subtropical Cunninghamia lanceolata forest,Guizhou,16,30186.72199,0.1928,811.88,13.55833333,933.34,1400,26.62,105.77,Luo 1996
Subtropical Cunninghamia lanceolata forest,Fujian,24,114167.2474,0.1435,1042.98,18.78333333,1085.93,400,26.8,118.2,Luo 1996
