Taxon,dbh.06,dbh.11,mass.kg.06,mass.kg.11
Acer saccharum,8.3,10.3,23.07360155,39.02508599
Acer saccharum,2.1,2.1,0.813283017,0.813283017
Acer saccharum,2.2,2.7,0.910795311,1.499412652
Acer saccharum,1.9,,0.637437357,
Acer saccharum,5.8,8,9.643438568,21.09585553
Acer saccharum,3.6,4.4,3.020278865,4.922525804
Acer saccharum,1.7,,0.486244006,
Acer saccharum,5.1,6.1,7.051196522,10.90298415
Acer saccharum,16.1,18.6,115.7580077,164.4916682
Acer saccharum,4.5,5.1,5.199306229,7.051196522
Acer saccharum,3.1,3.3,2.098785869,2.443780127
Acer saccharum,6.9,8.2,14.71709024,22.40274192
Acer saccharum,7.9,9,20.45970474,28.10040717
Acer saccharum,3.1,3.1,2.098785869,2.098785869
Acer saccharum,6.1,6.9,10.90298415,14.71709024
Acer saccharum,17,21.1,132.1460727,223.5959068
Acer saccharum,8.3,8.9,23.07360155,27.34643076
Acer saccharum,4.6,5.3,5.485050244,7.74333089
Acer saccharum,5.4,5.8,8.103793884,9.643438568
Acer saccharum,3.4,3.8,2.627976493,3.445122962
Acer saccharum,29,31.5,484.9139776,593.0387153
Acer saccharum,4.2,4.8,4.395506422,6.083771812
Acer saccharum,6.6,8,13.20776534,21.09585553
Acer saccharum,3.5,4.3,2.820109229,4.654621925
Acer saccharum,2.5,2.6,1.243257436,1.367803214
Acer saccharum,7.4,8.9,17.4493538,27.34643076
Acer saccharum,10.3,12.3,39.02508599,60.10941738
Acer saccharum,4.1,6.4,4.145089959,12.25459009
Acer saccharum,6.4,8.5,12.25459009,24.45046062
Acer saccharum,4.7,6.9,5.779843804,14.71709024
Acer saccharum,5.5,6.7,8.473958934,13.70019602
Acer saccharum,5,6.8,6.719365742,14.2032814
Acer saccharum,4.3,5.6,4.654621925,8.853903651
Acer saccharum,2.9,3.4,1.784286965,2.627976493
Acer saccharum,7.4,8.8,17.4493538,26.60450708
Acer saccharum,8.3,9,23.07360155,28.10040717
Acer saccharum,2.4,,1.125656027,
Acer saccharum,14.9,17.2,95.86619955,135.9624061
Acer saccharum,2.7,,1.499412652,
Acer saccharum,42,47.8,1194.562615,1636.66156
Acer saccharum,14.2,18,85.26990599,151.87274
Acer saccharum,3.5,3.8,2.820109229,3.445122962
Acer saccharum,5,5.5,6.719365742,8.473958934
Acer saccharum,2.9,3.3,1.784286965,2.443780127
Acer saccharum,9.6,12,32.88063012,56.60287432
Acer saccharum,8.7,9,25.87457714,28.10040717
Acer saccharum,6.8,8.7,14.2032814,25.87457714
Acer saccharum,10.3,12.3,39.02508599,60.10941738
Acer saccharum,12.7,17.6,64.97922299,143.7879302
Acer saccharum,9.6,11,32.88063012,45.79874427
Acer saccharum,7.9,9,20.45970474,28.10040717
Acer saccharum,4.7,,5.779843804,
Acer saccharum,5.6,6.7,8.853903651,13.70019602
Acer saccharum,9,11.9,28.10040717,55.46153811
Acer saccharum,4.4,4.5,4.922525804,5.199306229
Acer saccharum,9.2,10,29.64475228,36.31579002
Acer saccharum,12.8,16.3,66.23171555,119.2895947
Acer saccharum,1.7,,0.486244006,
Acer saccharum,6.2,7.2,11.34319366,16.32353667
Acer saccharum,1.9,2,0.637437357,0.722208693
Acer saccharum,3.7,3.7,3.228584318,3.228584318
Acer saccharum,6.6,7.9,13.20776534,20.45970474
Acer saccharum,1.8,1.9,0.558830149,0.637437357
Acer saccharum,2.4,2.4,1.125656027,1.125656027
Acer saccharum,2.5,2.7,1.243257436,1.499412652
Acer saccharum,8.1,9.7,21.74351384,33.72059676
Acer saccharum,6.3,6.9,11.79370504,14.71709024
Acer saccharum,5.9,6.7,10.0531801,13.70019602
Acer saccharum,3.4,3.5,2.627976493,2.820109229
Acer saccharum,2.6,,1.367803214,
Acer saccharum,5,5.4,6.719365742,8.103793884
Acer saccharum,3.8,3.9,3.445122962,3.669990691
Acer saccharum,4.9,5.3,6.396918156,7.74333089
Acer saccharum,2.2,2.5,0.910795311,1.243257436
Acer saccharum,3.6,3.7,3.020278865,3.228584318
Acer saccharum,2.6,,1.367803214,
Acer saccharum,1.9,,0.637437357,
Acer saccharum,22.7,24.8,267.1367499,331.3368795
Acer saccharum,4.4,4.5,4.922525804,5.199306229
Acer saccharum,9.7,11.6,33.72059676,52.11936714
Acer saccharum,2.5,3.9,1.243257436,3.669990691
Acer saccharum,4.3,,4.654621925,
Acer saccharum,3.5,4.2,2.820109229,4.395506422
Acer saccharum,3.2,3.4,2.267417914,2.627976493
Acer saccharum,3.6,3.7,3.020278865,3.228584318
Acer saccharum,6.5,6.8,12.72592001,14.2032814
Acer saccharum,12.5,14.3,62.51638397,86.73901353
Acer saccharum,2.3,2.7,1.014876964,1.499412652
Acer saccharum,5.5,8.1,8.473958934,21.74351384
