site,family,genus,species,height,biomass
CBT,Polemoniaceae,Collomia ,linearis ,4.5,0.019
CBT,Polemoniaceae,Collomia ,linearis ,15,0.137
CBT,Polemoniaceae,Collomia ,linearis ,4.1,0.021
CBT,Polemoniaceae,Collomia ,linearis ,5.7,0.012
CBT,Polemoniaceae,Collomia ,linearis ,6.8,0.017
CBT,Onagraceae,Gayophytum,racemosum,31,0.494
CBT,Asteraceae,Hymenoxys,hoopesii,25.5,0.207
CBT,Asteraceae,Hymenoxys,hoopesii,30.6,0.65
CBT,Scrophulariaceae,Penstemon,,2.9,0.007
CBT,Scrophulariaceae,Penstemon,,49.5,1.681
CBT,Scrophulariaceae,Penstemon,,11,0.64
CBT,Scrophulariaceae,Penstemon,,5.5,0.06
CBT,Scrophulariaceae,Penstemon,,5.9,
CBT,Scrophulariaceae,Penstemon,,8.1,0.349
CBT,Scrophulariaceae,Penstemon,,5.7,0.088
CBT,Polygonaceae,Polygonum,douglasii,14.7,0.1
CBT,Polygonaceae,Polygonum,douglasii,20,0.121
CBT,Polygonaceae,Polygonum,douglasii,12.5,0.105
CBT,Polygonaceae,Polygonum,douglasii,19.6,0.132
CBT,Polygonaceae,Polygonum,douglasii,14.7,0.066
CBT,Polygonaceae,Polygonum,douglasii,14.9,0.085
CBT,Polygonaceae,Polygonum,douglasii,5.7,0.02
CBT,Polygonaceae,Polygonum,douglasii,8.5,0.03
CBT,Poaceae,Poa,pratensis,28,0.032
CBT,Poaceae,Poa,pratensis,24.4,0.02
CBT,Poaceae,Poa,pratensis,26,0.042
CBT,Poaceae,Poa,pratensis,9.9,
CBT,Poaceae,Poa,pratensis,19.2,0.018
CBT,Poaceae,Poa,pratensis,23.5,0.103
CBT,Poaceae,Poa,pratensis,31.5,0.322
CBT,Poaceae,Poa,pratensis,33,0.27
CBT,Poaceae,Poa,pratensis,16.5,0.018
CBT,Poaceae,Poa,pratensis,13.4,0.035
CBT,Poaceae,Poa,pratensis,15.2,0.068
CBT,Poaceae,Poa,pratensis,16.6,0.015
CBT,Poaceae,Poa,pratensis,8.5,0.003
CBT,Poaceae,Poa,pratensis,20.6,0.047
CBT,Poaceae,Poa,pratensis,36,0.259
CBT,Poaceae,Poa,pratensis,28.2,0.236
CBT,Poaceae,Poa,pratensis,24.9,0.016
CBT,Poaceae,Poa,pratensis,21.8,0.029
CBT,Poaceae,Poa,pratensis,21.2,0.081
CBT,Poaceae,Poa,pratensis,36.2,0.063
CBT,Poaceae,Poa,pratensis,21.2,0.025
CBT,Poaceae,Poa,pratensis,21.5,0.014
CBT,Poaceae,Poa,pratensis,22.9,0.008
CBT,Poaceae,Poa,pratensis,25,0.082
CBT,Poaceae,Poa,pratensis,21,0.331
CBT,Poaceae,Poa,pratensis,14,0.112
CBT,Poaceae,Poa,pratensis,11.1,0.012
CBT,Poaceae,Poa,pratensis,10.5,0.107
CBT,Poaceae,Poa,pratensis,9.5,0.028
CBT,Poaceae,Poa,pratensis,9.1,0.077
CBT,Poaceae,Poa,pratensis,8.9,0.109
CBT,Poaceae,Poa,pratensis,14.9,0.163
CBT,Poaceae,Poa,pratensis,21.9,0.149
CBT,Poaceae,Poa,pratensis,27.5,0.583
CBT,Poaceae,Poa,pratensis,31.6,0.194
CBT,Poaceae,Poa,pratensis,11.9,0.056
CBT,Poaceae,Poa,pratensis,23.8,0.018
CBT,Poaceae,Poa,pratensis,29,0.116
CBT,Poaceae,Poa,pratensis,16.5,0.062
CBT,Poaceae,Poa,pratensis,31.4,0.498
CBT,Poaceae,Poa,pratensis,17.3,0.089
CBT,Poaceae,Poa,pratensis,35.5,0.296
CBT,Poaceae,Poa,pratensis,40.6,0.213
CBT,Poaceae,Poa,pratensis,17.4,0.318
CBT,Poaceae,Poa,pratensis,37.5,0.224
CBT,Poaceae,Poa,pratensis,15.6,0.118
CBT,Poaceae,Poa,pratensis,13,0.183
CBT,Poaceae,Poa,pratensis,30.5,0.568
CBT,Poaceae,Poa,pratensis,23.2,0.503
CBT,Poaceae,Poa,pratensis,30.6,0.769
CBT,Poaceae,Poa,pratensis,13,0.1
CBT,Poaceae,Poa,pratensis,15,0.204
CBT,Poaceae,Poa,pratensis,26,0.406
CBT,Poaceae,Poa,pratensis,17.1,0.265
CBT,Poaceae,Poa,pratensis,39.5,0.389
CBT,Poaceae,Poa,pratensis,24.5,0.277
CBT,Poaceae,Poa,pratensis,40.8,0.215
CBT,Poaceae,Poa,pratensis,18.6,0.238
CBT,Poaceae,Poa,pratensis,15.9,0.229
CBT,Poaceae,Poa,pratensis,11.2,0.08
CBT,Poaceae,Poa,pratensis,21.2,0.216
CBT,Poaceae,Poa,pratensis,38,0.494
CBT,Poaceae,Poa,pratensis,20.4,0.136
CBT,Poaceae,Poa,pratensis,31.2,0.93
CBT,Poaceae,Poa,pratensis,34.7,0.213
CBT,Poaceae,Poa,pratensis,16,0.069
CBT,Poaceae,Poa,pratensis,34.3,0.598
CBT,Poaceae,Poa,pratensis,17.5,1.161
CBT,Poaceae,Poa,pratensis,16.4,0.188
CBT,Poaceae,Poa,pratensis,27.6,0.105
CBT,Poaceae,Poa,pratensis,8.5,0.155
CBT,Poaceae,Poa,pratensis,7.2,0.15
CBT,Poaceae,Poa,pratensis,17.3,0.313
CBT,Poaceae,Poa,pratensis,10.3,0.083
CBT,Poaceae,Poa,pratensis,17.4,0.365
CBT,Poaceae,Poa,pratensis,8.3,0.032
CBT,Poaceae,Poa,pratensis,11.5,0.157
CBT,Poaceae,Poa,pratensis,11.1,0.08
CBT,Poaceae,Poa,pratensis,13.2,0.315
CBT,Poaceae,Poa,pratensis,10.2,0.135
CBT,Poaceae,Poa,pratensis,9.4,0.139
CBT,Poaceae,Poa,pratensis,13.2,0.032
CBT,Poaceae,Poa,pratensis,24.9,0.265
CBT,Poaceae,Poa,pratensis,30.9,0.275
CBT,Poaceae,Poa,pratensis,27.5,0.186
CBT,Poaceae,Poa,pratensis,12,0.392
CBT,Poaceae,Poa,pratensis,5,0.012
CBT,Poaceae,Poa,pratensis,7.5,0.019
CBT,Poaceae,Poa,pratensis,6.4,0.039
CBT,Poaceae,Poa,pratensis,10.4,0.019
CBT,Poaceae,Poa,pratensis,12.5,0.11
CBT,Poaceae,Poa,pratensis,10.6,0.043
CBT,Poaceae,Poa,pratensis,11,0.133
CBT,Poaceae,Poa,pratensis,11.2,0.151
CBT,Poaceae,Poa,pratensis,14.1,0.048
CBT,Poaceae,Poa,pratensis,10.7,0.17
CBT,Poaceae,Poa,pratensis,7.8,0.077
CBT,Poaceae,Poa,pratensis,12.1,0.044
CBT,Poaceae,Poa,pratensis,4.7,0.004
CBT,Poaceae,Poa,pratensis,9.5,0.016
CBT,Poaceae,Poa,pratensis,15.2,0.054
CBT,Poaceae,Poa,pratensis,14,0.101
CBT,Poaceae,Poa,pratensis,22,0.142
CBT,Poaceae,Poa,pratensis,28.5,0.506
CBT,Poaceae,Poa,pratensis,29,0.452
CBT,Poaceae,Poa,pratensis,29.8,0.578
CBT,Poaceae,Poa,pratensis,18,0.191
CBT,Poaceae,Poa,pratensis,36.7,0.753
CBT,Poaceae,Poa,pratensis,24.8,0.142
CBT,Poaceae,Poa,pratensis,17.9,0.328
CBT,Poaceae,Poa,pratensis,31,0.468
CBT,Poaceae,Poa,pratensis,22.5,0.122
CBT,Poaceae,Poa,pratensis,22,0.371
CBT,Poaceae,Poa,pratensis,29.4,0.286
CBT,Poaceae,Poa,pratensis,12.6,0.077
CBT,Poaceae,Poa,pratensis,10.4,0.076
CBT,Poaceae,Poa,pratensis,20.2,0.218
CBT,Poaceae,Poa,pratensis,10.8,0.199
CBT,Poaceae,Poa,pratensis,9.5,0.094
CBT,Poaceae,Poa,pratensis,17.5,0.359
CBT,Poaceae,Poa,pratensis,10,0.184
CBT,Poaceae,Poa,pratensis,11,0.07
CBT,Poaceae,Poa,pratensis,11.5,0.074
CBT,Poaceae,Poa,pratensis,20.8,0.24
CBT,Poaceae,Poa,pratensis,15.5,0.205
CBT,Poaceae,Poa,pratensis,30.5,0.362
CBT,Poaceae,Poa,pratensis,19.4,0.345
CBT,Poaceae,Poa,pratensis,12,0.071
CBT,Poaceae,Poa,pratensis,34,0.17
CBT,Poaceae,Poa,pratensis,31,0.231
CBT,Poaceae,Poa,pratensis,34.5,0.246
CBT,Poaceae,Poa,pratensis,12,0.093
